NAME                                    VERSION                                             TYPE                     
libsigsegv                              2.13-4.el9                                          rpm                      
libsmartcols                            2.37.4-21.el9                                       rpm                      
libsolv                                 0.7.24-3.el9                                        rpm                      
libstdc++                               11.5.0-5.el9_5                                      rpm                      
libstdc++-devel                         11.5.0-5.el9_5                                      rpm                      
libtalloc                               2.4.2-1.el9                                         rpm                      
libtasn1                                4.16.0-9.el9                                        rpm                      
libtiff                                 4.4.0-13.el9                                        rpm                      
libtiff-devel                           4.4.0-13.el9                                        rpm                      
libtirpc                                1.3.3-9.el9                                         rpm                      
libtool-ltdl                            2.4.6-46.el9                                        rpm                      
libunistring                            0.9.10-15.el9                                       rpm                      
libuser                                 0.63-16.el9                                         rpm                      
libutempter                             1.2.1-6.el9                                         rpm                      
libuuid                                 2.37.4-21.el9                                       rpm                      
libverto                                0.3.2-3.el9                                         rpm                      
libverto-devel                          0.3.2-3.el9                                         rpm                      
libwebp                                 1.2.0-8.el9_3                                       rpm                      
libwebp-devel                           1.2.0-8.el9_3                                       rpm                      
libxcb                                  1.13.1-9.el9                                        rpm                      
libxcb-devel                            1.13.1-9.el9                                        rpm                      
libxcrypt                               4.4.18-3.el9                                        rpm                      
libxcrypt-compat                        4.4.18-3.el9                                        rpm                      
libxcrypt-devel                         4.4.18-3.el9                                        rpm                      
libxml2                                 2.9.13-12.el9_6                                     rpm                      
libxml2-devel                           2.9.13-12.el9_6                                     rpm                      
libxslt                                 1.1.34-13.el9_6                                     rpm                      
libxslt-devel                           1.1.34-13.el9_6                                     rpm                      
libyaml                                 0.2.5-7.el9                                         rpm                      
libzstd                                 1.5.5-1.el9                                         rpm                      
llvm-libs                               19.1.7-2.el9                                        rpm                      
lru-cache                               10.2.2                                              npm                      
lsof                                    4.94.0-3.el9                                        rpm                      
lua-libs                                5.4.4-4.el9                                         rpm                      
lua-srpm-macros                         1-6.el9                                             rpm                      
lz4-libs                                1.9.3-5.el9                                         rpm                      
m4                                      1.4.19-1.el9                                        rpm                      
mailcap                                 2.1.49-5.el9                                        rpm                      
make                                    1:4.3-8.el9                                         rpm                      
make-fetch-happen                       13.0.1                                              npm                      
man-db                                  2.9.3-7.el9                                         rpm                      
mariadb-connector-c                     3.2.6-1.el9_0                                       rpm                      
mariadb-connector-c-config              3.2.6-1.el9_0                                       rpm                      
mariadb-connector-c-devel               3.2.6-1.el9_0                                       rpm                      
markupsafe                              3.0.3                                               python                   
minimatch                               9.0.5                                               npm                      
minipass                                3.3.6                                               npm     (+4 duplicates)  
minipass                                5.0.0                                               npm                      
minipass                                7.1.2                                               npm                      
minipass-collect                        2.0.1                                               npm                      
minipass-fetch                          3.0.5                                               npm                      
minipass-flush                          1.0.5                                               npm                      
minipass-pipeline                       1.2.4                                               npm                      
minipass-sized                          1.0.3                                               npm                      
minizlib                                2.1.2                                               npm                      
mkdirp                                  1.0.4                                               npm                      
mod_auth_gssapi                         1.6.3-7.el9                                         rpm                      
mod_http2                               2.0.26-4.el9_6.1                                    rpm                      
mod_ldap                                2.4.62-4.el9_6.4                                    rpm                      
mod_lua                                 2.4.62-4.el9_6.4                                    rpm                      
mod_session                             2.4.62-4.el9_6.4                                    rpm                      
mod_ssl                                 1:2.4.62-4.el9_6.4                                  rpm                      
mpfr                                    4.1.0-7.el9                                         rpm                      
ms                                      2.1.2                                               npm                      
ms                                      2.1.3                                               npm                      
mute-stream                             1.0.0                                               npm                      
ncurses                                 6.2-10.20210508.el9_6.2                             rpm                      
ncurses-base                            6.2-10.20210508.el9_6.2                             rpm                      
ncurses-libs                            6.2-10.20210508.el9_6.2                             rpm                      
negotiator                              0.6.3                                               npm                      
nettle                                  3.10.1-1.el9                                        rpm                      
node-gyp                                10.1.0                                              npm                      
nodejs                                  1:20.19.2-1.module+el9.6.0+23146+be9976bd           rpm                      
nodejs-docs                             1:20.19.2-1.module+el9.6.0+23146+be9976bd           rpm                      
nodejs-full-i18n                        1:20.19.2-1.module+el9.6.0+23146+be9976bd           rpm                      
nopt                                    7.2.1                                               npm                      
normalize-package-data                  6.0.2                                               npm                      
npm                                     10.8.2                                              npm                      
npm                                     1:10.8.2-1.20.19.2.1.module+el9.6.0+23146+be9976bd  rpm                      
npm-audit-report                        5.0.0                                               npm                      
npm-bundled                             3.0.1                                               npm                      
npm-install-checks                      6.3.0                                               npm                      
npm-normalize-package-bin               3.0.1                                               npm                      
npm-package-arg                         11.0.2                                              npm                      
npm-packlist                            8.0.2                                               npm                      
npm-pick-manifest                       9.1.0                                               npm                      
npm-profile                             10.0.0                                              npm                      
